Sr. No.,SECURITY,SYMBOL
1,APL Apollo Tubes Limited,APLAPOLLO
2,AU Small Finance Bank Limited,AUBANK
3,Aarti Industries Limited,AARTIIND
4,Adani Energy Solutions Limited,ADANIENSOL
5,Adani Enterprises Limited,ADANIENT
6,Adani Green Energy Limited,ADANIGREEN
7,Adani Ports and Special Economic Zone Limited,ADANIPORTS
8,Adani Total Gas Limited,ATGL
9,Aditya Birla Capital Limited,ABCAPITAL
10,Aditya Birla Fashion and Retail Limited,ABFRL
11,Alkem Laboratories Limited,ALKEM
12,Ambuja Cements Limited,AMBUJACEM
13,Angel One Limited,ANGELONE
14,Apollo Hospitals Enterprise Limited,APOLLOHOSP
15,Ashok Leyland Limited,ASHOKLEY
16,Asian Paints Limited,ASIANPAINT
17,Astral Limited,ASTRAL
18,Aurobindo Pharma Limited,AUROPHARMA
19,Avenue Supermarts Limited,DMART
20,Axis Bank Limited,AXISBANK
21,Birlasoft Limited,BSOFT
22,BSE Limited,BSE
23,Bajaj Auto Limited,BAJAJ-AUTO
24,Bajaj Finance Limited,BAJFINANCE
25,Bajaj Finserv Ltd.,BAJAJFINSV
26,Balkrishna Industries Limited,BALKRISIND
27,Bandhan Bank Limited,BANDHANBNK
28,Bank of Baroda Limited,BANKBARODA
29,Bank of India Limited,BANKINDIA
30,Bharat Electronics Limited,BEL
31,Bharat Forge Limited,BHARATFORG
32,Bharat Heavy Electricals Limited,BHEL
33,Bharat Petroleum Corporation Limited,BPCL
34,Bharti Airtel Limited,BHARTIARTL
35,Biocon Limited,BIOCON
36,Bosch Limited,BOSCHLTD
37,Britannia Industries Limited,BRITANNIA
38,CESC Limited,CESC
39,CG Power and Industrial Solutions Limited,CGPOWER
40,Canara Bank,CANBK
41,Central Depository Services (India) Limited,CDSL
42,Chambal Fertilisers and Chemicals Limited,CHAMBLFERT
43,Cholamandalam Investment and Finance Company Limited,CHOLAFIN
44,Coal India Limited,COALINDIA
45,Coforge Limited,COFORGE
46,Colgate-Palmolive (India) Limited,COLPAL
47,Computer Age Management Services Limited,CAMS
48,Crompton Greaves Consumer Electricals Limited,CROMPTON
49,Cummins India Limited,CUMMINSIND
50,Cyient Limited,CYIENT
51,Dabur India Limited,DABUR
52,Dalmia Bharat Limited,DALBHARAT
53,Delhivery Limited,DELHIVERY
54,Divi's Laboratories Limited,DIVISLAB
55,Dixon Technologies (India) Limited,DIXON
56,Eicher Motors Limited,EICHERMOT
57,Exide Industries Limited,EXIDEIND
58,FSN E-Commerce Ventures Limited,NYKAA
59,Glenmark Pharmaceuticals Limited,GLENMARK
60,Godrej Consumer Products Limited,GODREJCP
61,Godrej Properties Limited,GODREJPROP
62,Granules India Limited,GRANULES
63,HCL Technologies Limited,HCLTECH
64,HDFC Asset Management Company Limited,HDFCAMC
65,HDFC Bank Limited,HDFCBANK
66,HDFC Life Insurance Company Limited,HDFCLIFE
67,Havells India Limited,HAVELLS
68,Hero MotoCorp Limited,HEROMOTOCO
69,Hindalco Industries Limited,HINDALCO
70,Hindustan Aeronautics Limited,HAL
71,Hindustan Copper Limited,HINDCOPPER
72,Hindustan Petroleum Corporation Limited,HINDPETRO
73,Hindustan Unilever Limited,HINDUNILVR
74,Housing and Urban Development Corporation Limited,HUDCO
75,ICICI Bank Limited,ICICIBANK
76,ICICI Lombard General Insurance Company Limited,ICICIGI
77,ICICI Prudential Life Insurance Company Limited,ICICIPRULI
78,IIFL Finance Limited,IIFL
79,IRB Infrastructure Developers Limited,IRB
80,ITC Limited,ITC
81,Indian Bank,INDIANB
82,Indian Energy Exchange Limited,IEX
83,Indian Oil Corporation Limited,IOC
84,Indian Railway Catering & Tourism Corporation Limited,IRCTC
85,Indian Railway Finance Corporation Limited,IRFC
86,Indraprastha Gas Limited,IGL
87,Indus Towers Limited,INDUSTOWER
88,IndusInd Bank Limited,INDUSINDBK
89,Info Edge (India) Limited,NAUKRI
90,Infosys Limited,INFY
91,JSW Steel Limited,JSWSTEEL
92,Jindal Stainless Limited,JSL
93,Jindal Steel Limited,JINDALSTEL
94,Jubilant FoodWorks Limited,JUBLFOOD
95,KEI Industries Limited,KEI
96,KPIT Technologies Limited,KPITTECH
97,Kalyan Jewellers India Limited,KALYANKJIL
98,Kotak Mahindra Bank Limited,KOTAKBANK
99,L&T Finance Limited,LTF
100,LIC Housing Finance Limited,LICHSGFIN
101,LTM Limited,LTM
102,Larsen & Toubro Limited,LT
103,Laurus Labs Limited,LAURUSLABS
104,Life Insurance Corporation of India,LICI
105,Lupin Limited,LUPIN
106,Lodha Developers Limited,LODHA
107,Mahanagar Gas Limited,MGL
108,Marico Limited,MARICO
109,Maruti Suzuki India Limited,MARUTI
110,Max Healthcare Institute Limited,MAXHEALTH
111,Mphasis Limited,MPHASIS
112,Multi Commodity Exchange of India Limited,MCX
113,Muthoot Finance Limited,MUTHOOTFIN
114,NBCC (India) Limited,NBCC
115,NHPC Limited,NHPC
116,NMDC Limited,NMDC
117,NTPC Limited,NTPC
118,National Aluminium Company Limited,NATIONALUM
119,Nestlé India Limited,NESTLEIND
120,Oberoi Realty Limited,OBEROIRLTY
121,Oil and Natural Gas Corporation Limited,ONGC
122,Oil India Limited,OIL
123,Oracle Financial Services Software Limited,OFSS
124,PB Fintech Limited,POLICYBZR
125,PI Industries Limited,PIIND
126,Patanjali Foods Limited,PATANJALI
127,Petronet LNG Limited,PETRONET
128,Pidilite Industries Limited,PIDILITIND
129,Polycab India Limited,POLYCAB
130,Poonawalla Fincorp Limited,POONAWALLA
131,Power Finance Corporation Limited,PFC
132,Power Grid Corporation of India Limited,POWERGRID
133,Prestige Estates Projects Limited,PRESTIGE
134,Punjab National Bank,PNB
135,RBL Bank Limited,RBLBANK
136,REC Limited,RECLTD
137,Reliance Industries Limited,RELIANCE
138,SBI Cards and Payment Services Limited,SBICARD
139,Shree Cement Limited,SHREECEM
140,SRF Limited,SRF
141,Samvardhana Motherson International Limited,MOTHERSON
142,Shriram Finance Limited,SHRIRAMFIN
143,Siemens Limited,SIEMENS
144,Solar Industries India Limited,SOLARINDS
145,Sona BLW Precision Forgings Limited,SONACOMS
146,State Bank of India,SBIN
147,Steel Authority of India Limited,SAIL
148,Sun Pharmaceutical Industries Limited,SUNPHARMA
149,The Supreme Industries Limited,SUPREMEIND
150,Syngene International Limited,SYNGENE
151,Tata Consumer Products Limited,TATACONSUM
152,TVS Motor Company Limited,TVSMOTOR
153,Tata Communications Limited,TATACOMM
154,Tata Consultancy Services Limited,TCS
155,Tata Elxsi Limited,TATAELXSI
156,TATA MOTORS LIMITED,TMCV
157,Tata Steel Limited,TATASTEEL
158,Tata Technologies Limited,TATATECH
159,Tech Mahindra Limited,TECHM
160,The Federal Bank Limited,FEDERALBNK
161,The Indian Hotels Company Limited,INDHOTEL
162,The Phoenix Mills Limited,PHOENIXLTD
163,Titan Company Limited,TITAN
164,Torrent Pharmaceuticals Limited,TORNTPHARM
165,Torrent Power Limited,TORNTPOWER
166,Trent Limited,TRENT
167,Tube Investments of India Limited,TIINDIA
168,UPL Limited,UPL
169,UltraTech Cement Limited,ULTRACEMCO
170,UNITED SPIRITS LIMITED,UNITDSPR
171,Varun Beverages Limited,VBL
172,Vedanta Limited,VEDL
173,Voltas Limited,VOLTAS
174,Wipro Limited,WIPRO
175,Zydus Lifesciences Limited,ZYDUSLIFE
176,Hitachi Energy India Limited,POWERINDIA
177,Page Industries Limited,PAGEIND
178,Aditya Birla Capital Limited,ABCAPITAL
179,Adani Power Limited,ADANIPOWER
